"isbn","title","subtitle","author","publisher","published","pages","description","website"
"9781838986698",The Java Workshop,Learn object-oriented programming and kickstart your career in software development,"David Cuartielles, Andreas Göransson, Eric Foster-Johnson",Packt Publishing,1572480000,606,"Java is a versatile, popular programming language used across a wide range of industries. Learning how to write effective Java code can take your career to the next level, and The Java Workshop will help you do just that. This book is designed to take the pain out of Java coding and teach you everything you need to know to be productive in building real-world software. The Workshop starts by showing you how to use classes, methods, and the built-in Collections API to manipulate data structures effortlessly. You'll dive right into learning about object-oriented programming by creating classes and interfaces and making use of inheritance and polymorphism. After learning how to handle exceptions, you'll study the modules, packages, and libraries that help you organize your code. As you progress, you'll discover how to connect to external databases and web servers, work with regular expressions, and write unit tests to validate your code. You'll also be introduced to functional programming and see how to implement it using lambda functions. By the end of this Workshop, you'll be well-versed with key Java concepts and have the knowledge and confidence to tackle your own ambitious projects with Java.",https://www.packtpub.com/free-ebook/the-java-workshop/9781838986698
"9781789613476",Hands-On Microservices with Spring Boot and Spring Cloud,"Build and deploy Java microservices using Spring Cloud, Istio, and Kubernetes",Magnus Larsson,Packt Publishing,1568937600,668,"Microservices architecture allows developers to build and maintain applications with ease, and enterprises are rapidly adopting it to build software using Spring Boot as their default framework. With this book, you'll learn how to efficiently build and deploy microservices using Spring Boot. This microservices book will take you through tried and tested approaches to building distributed systems and implementing microservices architecture in your organization. Starting with a set of simple cooperating microservices developed using Spring Boot, you'll learn how you can add functionalities such as persistence, make your microservices reactive, and describe their APIs using Swagger/OpenAPI. As you advance, you'll understand how to add different services from Spring Cloud to your microservice system. The book also demonstrates how to deploy your microservices using Kubernetes and manage them with Istio for improved security and traffic management. Finally, you'll explore centralized log management using the EFK stack and monitor microservices using Prometheus and Grafana. By the end of this book, you'll be able to build microservices that are scalable and robust using Spring Boot and Spring Cloud.",https://www.packtpub.com/free-ebook/hands-on-microservices-with-spring-boot-and-spring-cloud/9781789613476
"9781838555726",Mastering Kotlin,"Learn advanced Kotlin programming techniques to build apps for Android, iOS, and the web",Nate Ebel,Packt Publishing,1570752000,434,"Using Kotlin without taking advantage of its power and interoperability is like owning a sports car and never taking it out of the garage. While documentation and introductory resources can help you learn the basics of Kotlin, the fact that it's a new language means that there are limited learning resources and code bases available in comparison to Java and other established languages. This Kotlin book will show you how to leverage software designs and concepts that have made Java the most dominant enterprise programming language. You'll understand how Kotlin is a modern approach to object-oriented programming (OOP). This book will take you through the vast array of features that Kotlin provides over other languages. These features include seamless interoperability with Java, efficient syntax, built-in functional programming constructs, and support for creating your own DSL. Finally, you will gain an understanding of implementing practical design patterns and best practices to help you master the Kotlin language. By the end of the book, you'll have obtained an advanced understanding of Kotlin in order to be able to build production-grade applications.",https://www.packtpub.com/free-ebook/mastering-kotlin/9781838555726
"9781484242216",Rethinking Productivity in Software Engineering,,"Caitlin Sadowski, Thomas Zimmermann",Apress,1557187200,301,"Get the most out of this foundational reference and improve the productivity of your software teams. This open access book collects the wisdom of the 2017 ""Dagstuhl"" seminar on productivity in software engineering, a meeting of community leaders, who came together with the goal of rethinking traditional definitions and measures of productivity.",https://link.springer.com/book/10.1007/978-1-4842-4221-6
"9781642002232",Database Design Succinctly,,Joseph D. Booth,Syncfusion,1653436800,87,"The way a user might perceive and use data and the optimal way a computer system might store it are often very different. In this Database Design Succinctly®, learn how to model the user's information into data in a computer database system in such a way as to allow the system to produce useful results for the end user. Joseph D. Booth will cover how to design a database system to allow businesses to get better reporting and control over their information, as well as how to improve their data to make sure it is as accurate as possible.",https://www.syncfusion.com/succinctly-free-ebooks/database-design-succinctly
"9781642001174",SOLID Principles Succinctly,,Gaurav Kumar Arora,Syncfusion,1477872000,78,"There is always room for improving one's coding ability, and SOLID design principles offer one way to see marked improvements in final output. With SOLID Principles Succinctly®, author Gaurav Kumar Arora will instruct you in how to use SOLID principles to take your programming skills to the next level.",https://www.syncfusion.com/succinctly-free-ebooks/solidprinciplessuccinctly
"9781642001440",Java Succinctly Part 1,,Christopher Rose,Syncfusion,1503964800,125,"Java is a high-level, cross-platform, object-oriented programming language that allows applications to be written once and run on a multitude of different devices. Java applications are ubiquitous, and the language is consistently ranked as one of the most popular and dominant in the world. Christopher Rose's Java Succinctly® Part 1 describes the foundations of Java—from printing a line of text to the console, to inheritance hierarchies in object-oriented programming. The e-book covers practical aspects of programming, such as debugging and using an IDE, as well as the core mechanics of the language.",https://www.syncfusion.com/succinctly-free-ebooks/java-succinctly-part-1
"9781642001457",Java Succinctly Part 2,,Christopher Rose,Syncfusion,1504569600,134,"In this second e-book on Java, Christopher Rose takes readers through some of the more advanced features of the language. Java Succinctly® Part 2 explores powerful and practical features of Java, such as multithreading, building GUI applications, and 2-D graphics and game programming. Then learn techniques for using these mechanisms in coherent projects by building a calculator app and a simple game with the author.",https://www.syncfusion.com/succinctly-free-ebooks/java-succinctly-part-2
"9781642001495",Scala Succinctly,,Chris Rose,Syncfusion,1508112000,110,"Learning a new programming language can be a daunting task, but Scala Succinctly® makes it a simple matter. Author Chris Rose guides readers through the basics of Scala, from installation to syntax shorthand, so that they can get up and running quickly.",https://www.syncfusion.com/succinctly-free-ebooks/scala-succinctly
"9781642001242",SQL Queries Succinctly,,Nick Harrison,Syncfusion,1486166400,102,"SQL is the language of data, and therefore the intermediary language for those who straddle the line between technology and business. Every business application needs a database and SQL is the key to working with these databases. Nick Harrison's SQL Queries Succinctly® will show you how to craft queries in SQL, from basic CRUD statements and slicing and dicing the data, to applying filters and using aggregate functions to summarize the data. You will look at solving common problems, navigating hierarchical data, and exploring the data dictionary.",https://www.syncfusion.com/succinctly-free-ebooks/sql-queries-succinctly
